다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6411461,2018032,1130510300,11305001,서울특별시,서울특별시 강북구 수유동,6,6,0,3,3,0,127.0243586,37.63553073,"{""type"":""Polygon"",""coordinates"":[[[127.02662529,37.63553984],[127.02661567,37.63569692],[127.02658887,37.63585273],[127.02654510,37.63600609],[127.02648468,37.63615583],[127.02640808,37.63630081],[127.02631589,37.63643994],[127.02620879,37.63657214],[127.02608762,37.63669642],[127.02595329,37.63681183],[127.02580681,37.63691748],[127.02564932,37.63701259],[127.02548200,37.63709641],[127.02530613,37.63716832],[127.02512305,37.63722776],[127.02493415,37.63727429],[127.02474087,37.63730755],[127.02454468,37.63732729],[127.02434708,37.63733335],[127.02414956,37.63732570],[127.02395363,37.63730438],[127.02376078,37.63726956],[127.02357249,37.63722151],[127.02339017,37.63716060],[127.02321523,37.63708727],[127.02304899,37.63700210],[127.02289272,37.63690574],[127.02274760,37.63679890],[127.02261475,37.63668242],[127.02249516,37.63655717],[127.02238976,37.63642411],[127.02229934,37.63628425],[127.02222460,37.63613865],[127.02216609,37.63598843],[127.02212428,37.63583473],[127.02209947,37.63567871],[127.02209185,37.63552156],[127.02210148,37.63536449],[127.02212829,37.63520868],[127.02217207,37.63505532],[127.02223249,37.63490558],[127.02230910,37.63476060],[127.02240130,37.63462148],[127.02250839,37.63448928],[127.02262957,37.63436500],[127.02276391,37.63424960],[127.02291038,37.63414395],[127.02306787,37.63404885],[127.02323518,37.63396503],[127.02341104,37.63389312],[127.02359412,37.63383368],[127.02378301,37.63378715],[127.02397628,37.63375389],[127.02417246,37.63373416],[127.02437006,37.63372810],[127.02456757,37.63373575],[127.02476349,37.63375707],[127.02495632,37.63379188],[127.02514461,37.63383993],[127.02532692,37.63390085],[127.02550186,37.63397417],[127.02566809,37.63405933],[127.02582437,37.63415570],[127.02596948,37.63426252],[127.02610234,37.63437900],[127.02622192,37.63450425],[127.02632733,37.63463731],[127.02641775,37.63477716],[127.02649250,37.63492276],[127.02655102,37.63507298],[127.02659284,37.63522668],[127.02661766,37.63538270],[127.02662529,37.63553984]]]}"
6411839,2018032,1130510300,11305002,서울특별시,서울특별시 강북구 수유동,6,7,0,1,6,0,127.0106033,37.64588753,"{""type"":""Polygon"",""coordinates"":[[[127.01287033,37.64589692],[127.01286068,37.64605399],[127.01283384,37.64620980],[127.01279003,37.64636315],[127.01272958,37.64651289],[127.01265295,37.64665786],[127.01256071,37.64679698],[127.01245358,37.64692917],[127.01233237,37.64705343],[127.01219799,37.64716882],[127.01205148,37.64727446],[127.01189395,37.64736954],[127.01172659,37.64745335],[127.01155069,37.64752524],[127.01136757,37.64758466],[127.01117864,37.64763117],[127.01098532,37.64766440],[127.01078910,37.64768412],[127.01059147,37.64769016],[127.01039392,37.64768248],[127.01019797,37.64766114],[127.01000511,37.64762630],[127.00981679,37.64757823],[127.00963447,37.64751729],[127.00945951,37.64744394],[127.00929327,37.64735876],[127.00913699,37.64726237],[127.00899187,37.64715552],[127.00885902,37.64703902],[127.00873944,37.64691376],[127.00863405,37.64678069],[127.00854365,37.64664081],[127.00846892,37.64649521],[127.00841044,37.64634498],[127.00836864,37.64619128],[127.00834386,37.64603525],[127.00833626,37.64587811],[127.00834593,37.64572104],[127.00837277,37.64556523],[127.00841659,37.64541188],[127.00847705,37.64526215],[127.00855369,37.64511717],[127.00864593,37.64497806],[127.00875306,37.64484588],[127.00887428,37.64472161],[127.00900865,37.64460623],[127.00915516,37.64450059],[127.00931269,37.64440551],[127.00948005,37.64432171],[127.00965595,37.64424983],[127.00983906,37.64419041],[127.01002798,37.64414390],[127.01022129,37.64411066],[127.01041750,37.64409095],[127.01061512,37.64408491],[127.01081266,37.64409259],[127.01100860,37.64411393],[127.01120146,37.64414877],[127.01138976,37.64419684],[127.01157208,37.64425778],[127.01174703,37.64433111],[127.01191328,37.64441630],[127.01206955,37.64451268],[127.01221467,37.64461953],[127.01234752,37.64473602],[127.01246710,37.64486128],[127.01257250,37.64499435],[127.01266290,37.64513422],[127.01273764,37.64527982],[127.01279613,37.64543005],[127.01283793,37.64558375],[127.01286273,37.64573977],[127.01287033,37.64589692]]]}"
6411840,2018032,1130510200,11305003,서울특별시,서울특별시 강북구 번동,5,6,0,0,6,0,127.0314679,37.6354097,"{""type"":""Polygon"",""coordinates"":[[[127.03373465,37.63541868],[127.03372504,37.63557576],[127.03369826,37.63573157],[127.03365450,37.63588493],[127.03359410,37.63603468],[127.03351751,37.63617967],[127.03342533,37.63631879],[127.03331825,37.63645101],[127.03319709,37.63657529],[127.03306277,37.63669071],[127.03291630,37.63679637],[127.03275882,37.63689148],[127.03259151,37.63697532],[127.03241565,37.63704724],[127.03223257,37.63710670],[127.03204368,37.63715324],[127.03185040,37.63718651],[127.03165421,37.63720626],[127.03145661,37.63721233],[127.03125909,37.63720469],[127.03106316,37.63718338],[127.03087031,37.63714858],[127.03068201,37.63710054],[127.03049969,37.63703963],[127.03032474,37.63696632],[127.03015849,37.63688116],[127.03000221,37.63678480],[127.02985708,37.63667798],[127.02972422,37.63656150],[127.02960462,37.63643626],[127.02949921,37.63630320],[127.02940878,37.63616335],[127.02933402,37.63601776],[127.02927550,37.63586754],[127.02923367,37.63571384],[127.02920884,37.63555782],[127.02920121,37.63540068],[127.02921082,37.63524360],[127.02923762,37.63508779],[127.02928139,37.63493443],[127.02934180,37.63478469],[127.02941839,37.63463970],[127.02951057,37.63450057],[127.02961766,37.63436837],[127.02973882,37.63424408],[127.02987314,37.63412867],[127.03001961,37.63402301],[127.03017709,37.63392790],[127.03034439,37.63384407],[127.03052025,37.63377215],[127.03070332,37.63371270],[127.03089220,37.63366616],[127.03108547,37.63363289],[127.03128165,37.63361314],[127.03147925,37.63360707],[127.03167676,37.63361471],[127.03187268,37.63363602],[127.03206552,37.63367082],[127.03225381,37.63371886],[127.03243612,37.63377976],[127.03261107,37.63385307],[127.03277731,37.63393823],[127.03293359,37.63403458],[127.03307872,37.63414140],[127.03321159,37.63425787],[127.03333118,37.63438311],[127.03343660,37.63451616],[127.03352704,37.63465601],[127.03360180,37.63480160],[127.03366033,37.63495182],[127.03370217,37.63510552],[127.03372701,37.63526154],[127.03373465,37.63541868]]]}"
6411836,2018032,1130510100,11305004,서울특별시,서울특별시 강북구 미아동,5,5,0,0,4,1,127.0249245,37.63035472,"{""type"":""Polygon"",""coordinates"":[[[127.02719102,37.63036383],[127.02718140,37.63052090],[127.02715460,37.63067671],[127.02711083,37.63083007],[127.02705042,37.63097982],[127.02697383,37.63112480],[127.02688164,37.63126393],[127.02677456,37.63139613],[127.02665339,37.63152041],[127.02651907,37.63163582],[127.02637261,37.63174147],[127.02621512,37.63183658],[127.02604782,37.63192041],[127.02587196,37.63199231],[127.02568890,37.63205176],[127.02550001,37.63209829],[127.02530674,37.63213155],[127.02511057,37.63215129],[127.02491297,37.63215735],[127.02471547,37.63214970],[127.02451955,37.63212838],[127.02432672,37.63209357],[127.02413844,37.63204552],[127.02395614,37.63198460],[127.02378121,37.63191128],[127.02361498,37.63182611],[127.02345871,37.63172974],[127.02331360,37.63162291],[127.02318076,37.63150643],[127.02306118,37.63138118],[127.02295579,37.63124812],[127.02286537,37.63110826],[127.02279063,37.63096266],[127.02273213,37.63081244],[127.02269032,37.63065874],[127.02266551,37.63050272],[127.02265788,37.63034557],[127.02266751,37.63018850],[127.02269432,37.63003269],[127.02273810,37.62987933],[127.02279852,37.62972959],[127.02287511,37.62958461],[127.02296731,37.62944549],[127.02307440,37.62931328],[127.02319556,37.62918901],[127.02332989,37.62907361],[127.02347635,37.62896795],[127.02363383,37.62887285],[127.02380113,37.62878903],[127.02397698,37.62871712],[127.02416004,37.62865768],[127.02434892,37.62861115],[127.02454217,37.62857789],[127.02473834,37.62855815],[127.02493592,37.62855209],[127.02513342,37.62855975],[127.02532933,37.62858106],[127.02552215,37.62861587],[127.02571043,37.62866392],[127.02589272,37.62872484],[127.02606765,37.62879815],[127.02623387,37.62888332],[127.02639013,37.62897968],[127.02653524,37.62908651],[127.02666809,37.62920299],[127.02678767,37.62932824],[127.02689307,37.62946129],[127.02698349,37.62960115],[127.02705823,37.62974674],[127.02711674,37.62989696],[127.02715857,37.63005067],[127.02718339,37.63020668],[127.02719102,37.63036383]]]}"
6411835,2018032,1130510300,11305005,서울특별시,서울특별시 강북구 수유동,4,7,0,3,4,0,127.0156263,37.63403231,"{""type"":""Polygon"",""coordinates"":[[[127.01789298,37.63404159],[127.01788334,37.63419867],[127.01785652,37.63435447],[127.01781273,37.63450783],[127.01775230,37.63465757],[127.01767568,37.63480255],[127.01758347,37.63494166],[127.01747637,37.63507386],[127.01735518,37.63519813],[127.01722084,37.63531353],[127.01707436,37.63541917],[127.01691686,37.63551426],[127.01674953,37.63559808],[127.01657366,37.63566997],[127.01639057,37.63572940],[127.01620167,37.63577592],[127.01600839,37.63580916],[127.01581221,37.63582889],[127.01561460,37.63583493],[127.01541709,37.63582726],[127.01522117,37.63580593],[127.01502833,37.63577110],[127.01484004,37.63572304],[127.01465774,37.63566211],[127.01448281,37.63558877],[127.01431658,37.63550359],[127.01416032,37.63540721],[127.01401522,37.63530037],[127.01388238,37.63518387],[127.01376282,37.63505861],[127.01365743,37.63492555],[127.01356703,37.63478568],[127.01349231,37.63464008],[127.01343382,37.63448985],[127.01339202,37.63433615],[127.01336723,37.63418013],[127.01335963,37.63402298],[127.01336928,37.63386591],[127.01339611,37.63371010],[127.01343991,37.63355674],[127.01350035,37.63340701],[127.01357697,37.63326203],[127.01366918,37.63312292],[127.01377629,37.63299073],[127.01389748,37.63286646],[127.01403183,37.63275107],[127.01417830,37.63264542],[127.01433580,37.63255034],[127.01450312,37.63246653],[127.01467899,37.63239464],[127.01486207,37.63233521],[127.01505096,37.63228869],[127.01524423,37.63225545],[127.01544041,37.63223573],[127.01563801,37.63222968],[127.01583551,37.63223735],[127.01603142,37.63225868],[127.01622425,37.63229351],[127.01641253,37.63234157],[127.01659483,37.63240250],[127.01676975,37.63247583],[127.01693598,37.63256101],[127.01709223,37.63265739],[127.01723733,37.63276423],[127.01737017,37.63288072],[127.01748974,37.63300597],[127.01759513,37.63313904],[127.01768553,37.63327890],[127.01776027,37.63342450],[127.01781876,37.63357472],[127.01786057,37.63372843],[127.01788537,37.63388445],[127.01789298,37.63404159]]]}"
6411837,2018032,1130510300,11305006,서울특별시,서울특별시 강북구 수유동,4,5,0,2,2,1,127.0286732,37.6409156,"{""type"":""Polygon"",""coordinates"":[[[127.03094012,37.64092463],[127.03093050,37.64108171],[127.03090371,37.64123752],[127.03085994,37.64139088],[127.03079953,37.64154063],[127.03072294,37.64168561],[127.03063074,37.64182474],[127.03052365,37.64195695],[127.03040247,37.64208123],[127.03026814,37.64219664],[127.03012166,37.64230231],[127.02996416,37.64239741],[127.02979684,37.64248125],[127.02962096,37.64255316],[127.02943787,37.64261261],[127.02924896,37.64265915],[127.02905567,37.64269241],[127.02885946,37.64271216],[127.02866184,37.64271823],[127.02846431,37.64271058],[127.02826836,37.64268927],[127.02807550,37.64265446],[127.02788719,37.64260642],[127.02770486,37.64254550],[127.02752990,37.64247219],[127.02736364,37.64238703],[127.02720735,37.64229066],[127.02706222,37.64218384],[127.02692935,37.64206736],[127.02680975,37.64194211],[127.02670433,37.64180905],[127.02661390,37.64166920],[127.02653914,37.64152361],[127.02648062,37.64137339],[127.02643880,37.64121968],[127.02641397,37.64106367],[127.02640634,37.64090652],[127.02641597,37.64074945],[127.02644277,37.64059364],[127.02648655,37.64044028],[127.02654697,37.64029053],[127.02662357,37.64014555],[127.02671577,37.64000643],[127.02682286,37.63987422],[127.02694404,37.63974994],[127.02707838,37.63963453],[127.02722486,37.63952888],[127.02738235,37.63943377],[127.02754967,37.63934994],[127.02772554,37.63927803],[127.02790863,37.63921858],[127.02809753,37.63917205],[127.02829081,37.63913878],[127.02848701,37.63911904],[127.02868462,37.63911297],[127.02888214,37.63912062],[127.02907808,37.63914193],[127.02927093,37.63917674],[127.02945924,37.63922478],[127.02964156,37.63928569],[127.02981651,37.63935900],[127.02998277,37.63944416],[127.03013906,37.63954052],[127.03028419,37.63964734],[127.03041706,37.63976382],[127.03053666,37.63988906],[127.03064208,37.64002211],[127.03073252,37.64016196],[127.03080729,37.64030755],[127.03086581,37.64045777],[127.03090765,37.64061147],[127.03093248,37.64076749],[127.03094012,37.64092463]]]}"
6411193,2018032,1130510200,11305007,서울특별시,서울특별시 강북구 번동,4,4,0,2,2,0,127.0362866,37.63293729,"{""type"":""Polygon"",""coordinates"":[[[127.03855327,37.63294617],[127.03854367,37.63310325],[127.03851690,37.63325906],[127.03847315,37.63341243],[127.03841276,37.63356218],[127.03833619,37.63370717],[127.03824402,37.63384630],[127.03813695,37.63397852],[127.03801580,37.63410281],[127.03788149,37.63421823],[127.03773504,37.63432390],[127.03757757,37.63441902],[127.03741027,37.63450286],[127.03723442,37.63457479],[127.03705135,37.63463425],[127.03686247,37.63468080],[127.03666920,37.63471408],[127.03647302,37.63473384],[127.03627542,37.63473992],[127.03607791,37.63473228],[127.03588198,37.63471099],[127.03568914,37.63467619],[127.03550084,37.63462816],[127.03531852,37.63456726],[127.03514357,37.63449395],[127.03497732,37.63440880],[127.03482104,37.63431245],[127.03467591,37.63420563],[127.03454304,37.63408916],[127.03442344,37.63396392],[127.03431802,37.63383087],[127.03422759,37.63369102],[127.03415282,37.63354543],[127.03409430,37.63339522],[127.03405245,37.63324152],[127.03402762,37.63308550],[127.03401997,37.63292836],[127.03402958,37.63277128],[127.03405636,37.63261547],[127.03410012,37.63246211],[127.03416052,37.63231236],[127.03423710,37.63216737],[127.03432927,37.63202824],[127.03443634,37.63189603],[127.03455750,37.63177174],[127.03469181,37.63165632],[127.03483826,37.63155065],[127.03499573,37.63145554],[127.03516302,37.63137170],[127.03533887,37.63129978],[127.03552193,37.63124032],[127.03571080,37.63119377],[127.03590406,37.63116049],[127.03610023,37.63114074],[127.03629782,37.63113465],[127.03649533,37.63114229],[127.03669124,37.63116359],[127.03688408,37.63119838],[127.03707237,37.63124641],[127.03725468,37.63130731],[127.03742962,37.63138061],[127.03759587,37.63146576],[127.03775215,37.63156211],[127.03789728,37.63166892],[127.03803015,37.63178539],[127.03814975,37.63191062],[127.03825517,37.63204367],[127.03834562,37.63218352],[127.03842039,37.63232910],[127.03847892,37.63247932],[127.03852077,37.63263302],[127.03854562,37.63278903],[127.03855327,37.63294617]]]}"
6411838,2018032,1130510300,11305008,서울특별시,서울특별시 강북구 수유동,4,5,0,1,4,0,127.0217494,37.6435618,"{""type"":""Polygon"",""coordinates"":[[[127.02401637,37.64357096],[127.02400674,37.64372804],[127.02397993,37.64388385],[127.02393615,37.64403721],[127.02387572,37.64418695],[127.02379911,37.64433193],[127.02370690,37.64447105],[127.02359979,37.64460325],[127.02347860,37.64472753],[127.02334425,37.64484293],[127.02319776,37.64494858],[127.02304024,37.64504368],[127.02287290,37.64512751],[127.02269701,37.64519941],[127.02251391,37.64525885],[127.02232499,37.64530538],[127.02213169,37.64533863],[127.02193548,37.64535836],[127.02173785,37.64536442],[127.02154031,37.64535676],[127.02134436,37.64533544],[127.02115150,37.64530062],[127.02096318,37.64525256],[127.02078085,37.64519164],[127.02060589,37.64511831],[127.02043963,37.64503314],[127.02028335,37.64493677],[127.02013822,37.64482993],[127.02000535,37.64471345],[127.01988576,37.64458820],[127.01978035,37.64445513],[127.01968993,37.64431527],[127.01961518,37.64416967],[127.01955668,37.64401945],[127.01951487,37.64386575],[127.01949006,37.64370973],[127.01948244,37.64355258],[127.01949208,37.64339551],[127.01951890,37.64323970],[127.01956269,37.64308634],[127.01962313,37.64293661],[127.01969974,37.64279163],[127.01979196,37.64265251],[127.01989907,37.64252031],[127.02002026,37.64239604],[127.02015462,37.64228064],[127.02030111,37.64217499],[127.02045862,37.64207989],[127.02062596,37.64199607],[127.02080184,37.64192417],[127.02098494,37.64186473],[127.02117385,37.64181821],[127.02136714,37.64178496],[127.02156334,37.64176523],[127.02176096,37.64175917],[127.02195849,37.64176683],[127.02215443,37.64178815],[127.02234729,37.64182297],[127.02253560,37.64187102],[127.02271792,37.64193194],[127.02289287,37.64200526],[127.02305913,37.64209043],[127.02321541,37.64218680],[127.02336054,37.64229363],[127.02349340,37.64241012],[127.02361300,37.64253536],[127.02371841,37.64266842],[127.02380884,37.64280828],[127.02388359,37.64295388],[127.02394210,37.64310410],[127.02398393,37.64325780],[127.02400875,37.64341382],[127.02401637,37.64357096]]]}"
6411295,2018032,1130510100,11305009,서울특별시,서울특별시 강북구 미아동,4,6,0,0,6,0,127.0298221,37.61744471,"{""type"":""Polygon"",""coordinates"":[[[127.03208829,37.61745372],[127.03207868,37.61761080],[127.03205190,37.61776661],[127.03200815,37.61791997],[127.03194776,37.61806972],[127.03187119,37.61821471],[127.03177903,37.61835384],[127.03167197,37.61848605],[127.03155083,37.61861033],[127.03141654,37.61872574],[127.03127011,37.61883141],[127.03111266,37.61892652],[127.03094539,37.61901035],[127.03076957,37.61908227],[127.03058654,37.61914172],[127.03039769,37.61918826],[127.03020446,37.61922153],[127.03000832,37.61924128],[127.02981076,37.61924735],[127.02961329,37.61923970],[127.02941741,37.61921840],[127.02922460,37.61918359],[127.02903635,37.61913555],[127.02885408,37.61907464],[127.02867917,37.61900132],[127.02851296,37.61891616],[127.02835672,37.61881980],[127.02821163,37.61871297],[127.02807880,37.61859650],[127.02795923,37.61847125],[127.02785385,37.61833820],[127.02776344,37.61819834],[127.02768870,37.61805275],[127.02763020,37.61790253],[127.02758838,37.61774882],[127.02756357,37.61759281],[127.02755594,37.61743566],[127.02756556,37.61727859],[127.02759235,37.61712278],[127.02763611,37.61696942],[127.02769650,37.61681967],[127.02777308,37.61667468],[127.02786525,37.61653556],[127.02797231,37.61640335],[127.02809344,37.61627907],[127.02822774,37.61616366],[127.02837417,37.61605800],[127.02853161,37.61596289],[127.02869888,37.61587906],[127.02887469,37.61580715],[127.02905772,37.61574770],[127.02924656,37.61570116],[127.02943978,37.61566789],[127.02963592,37.61564815],[127.02983346,37.61564208],[127.03003092,37.61564972],[127.03022680,37.61567103],[127.03041959,37.61570584],[127.03060784,37.61575387],[127.03079011,37.61581478],[127.03096501,37.61588809],[127.03113121,37.61597325],[127.03128745,37.61606961],[127.03143254,37.61617643],[127.03156537,37.61629291],[127.03168494,37.61641815],[127.03179033,37.61655120],[127.03188074,37.61669105],[127.03195549,37.61683664],[127.03201399,37.61698686],[127.03205582,37.61714056],[127.03208065,37.61729658],[127.03208829,37.61745372]]]}"
6411841,2018032,1132010600,11320001,서울특별시,서울특별시 도봉구 방학동,7,7,0,4,3,0,127.0464906,37.664664,"{""type"":""Polygon"",""coordinates"":[[[127.04875821,37.66467270],[127.04874863,37.66482978],[127.04872186,37.66498559],[127.04867811,37.66513896],[127.04861772,37.66528871],[127.04854113,37.66543371],[127.04844894,37.66557285],[127.04834185,37.66570508],[127.04822066,37.66582938],[127.04808631,37.66594481],[127.04793981,37.66605049],[127.04778228,37.66614562],[127.04761492,37.66622948],[127.04743901,37.66630142],[127.04725587,37.66636090],[127.04706691,37.66640746],[127.04687357,37.66644076],[127.04667730,37.66646053],[127.04647962,37.66646663],[127.04628202,37.66645901],[127.04608601,37.66643773],[127.04589308,37.66640295],[127.04570469,37.66635493],[127.04552229,37.66629405],[127.04534726,37.66622076],[127.04518093,37.66613562],[127.04502457,37.66603928],[127.04487936,37.66593248],[127.04474642,37.66581602],[127.04462675,37.66569079],[127.04452127,37.66555775],[127.04443078,37.66541791],[127.04435596,37.66527233],[127.04429739,37.66512212],[127.04425551,37.66496842],[127.04423064,37.66481241],[127.04422298,37.66465526],[127.04423256,37.66449819],[127.04425934,37.66434237],[127.04430309,37.66418901],[127.04436350,37.66403926],[127.04444009,37.66389426],[127.04453229,37.66375512],[127.04463939,37.66362290],[127.04476057,37.66349861],[127.04489493,37.66338318],[127.04504142,37.66327750],[127.04519895,37.66318237],[127.04536630,37.66309852],[127.04554222,37.66302658],[127.04572534,37.66296710],[127.04591430,37.66292054],[127.04610763,37.66288725],[127.04630388,37.66286748],[127.04650156,37.66286138],[127.04669915,37.66286900],[127.04689515,37.66289028],[127.04708807,37.66292506],[127.04727645,37.66297307],[127.04745884,37.66303395],[127.04763387,37.66310724],[127.04780020,37.66319237],[127.04795656,37.66328871],[127.04810176,37.66339551],[127.04823471,37.66351196],[127.04835438,37.66363719],[127.04845986,37.66377022],[127.04855036,37.66391007],[127.04862519,37.66405564],[127.04868376,37.66420585],[127.04872565,37.66435955],[127.04875053,37.66451556],[127.04875821,37.66467270]]]}"
